Concordance report,
Statistical Area 2 2023 to Territorial Authority 2023,
Valid from,01-Jan-2023,
Valid to,01-Jan-2024,
Lifecycle status,Released,
Statistical Area 2 2023,"","",Territorial Authority 2023
SA22023 V1.0.0,"","",TA2023 V1.0.0
"100100","North Cape","Many To One Map","001","Far North District",
"100200","Rangaunu Harbour","Many To One Map","001","Far North District",
"100301","Inlets Far North District","Many To One Map","001","Far North District",
"100400","Karikari Peninsula","Many To One Map","001","Far North District",
"100500","Tangonge","Many To One Map","001","Far North District",
"100600","Ahipara","Many To One Map","001","Far North District",
"100700","Kaitaia East","Many To One Map","001","Far North District",
"100800","Kaitaia West","Many To One Map","001","Far North District",
"100900","Rangitihi","Many To One Map","001","Far North District",
"101000","Oruru-Parapara","Many To One Map","001","Far North District",
"101101","Doubtless Bay","Many To One Map","001","Far North District",
"101200","Herekino-Takahue","Many To One Map","001","Far North District",
"101300","Peria","Many To One Map","001","Far North District",
"101400","Taemaro-Oruaiti","Many To One Map","001","Far North District",
"101500","Whakapaku","Many To One Map","001","Far North District",
"101600","Hokianga North","Many To One Map","001","Far North District",
"101700","Kohukohu-Broadwood","Many To One Map","001","Far North District",
"101801","Whakarara","Many To One Map","001","Far North District",
"101900","Kaeo","Many To One Map","001","Far North District",
"102000","Omahuta Forest-Horeke","Many To One Map","001","Far North District",
"102100","Hokianga South","Many To One Map","001","Far North District",
"102201","Lake Manuwai-Kapiro","Many To One Map","001","Far North District",
"102300","Okaihau","Many To One Map","001","Far North District",
"102401","Rangitane-Purerua","Many To One Map","001","Far North District",
"102501","Waipapa","Many To One Map","001","Far North District",
"102600","Puketotara","Many To One Map","001","Far North District",
"102700","Waima Forest","Many To One Map","001","Far North District",
"102801","Riverview","Many To One Map","001","Far North District",
"102900","Waipoua Forest","Many To One Map","001","Far North District",
"103000","Kerikeri Central","Many To One Map","001","Far North District",
"103101","Kerikeri South","Many To One Map","001","Far North District",
"103200","Ohaeawai-Waimate North","Many To One Map","001","Far North District",
"103301","Puketona-Waitangi","Many To One Map","001","Far North District",
"103401","Ngapuhi","Many To One Map","001","Far North District",
"103501","Kaikohe","Many To One Map","001","Far North District",
"103600","Pakaraka","Many To One Map","001","Far North District",
"103700","Haruru","Many To One Map","001","Far North District",
